,lealtad1,lealtad2,lealtad3
1,9,10,4
2,10,11,5
3,10,10,5
4,9,10,5
5,8,11,4
6,10,12,5
7,9,9,4
8,12,11,5
9,10,7,3
10,10,10,5
11,10,8,5
12,11,11,6
13,11,12,5
14,7,9,3
15,10,11,5
16,11,11,5
17,11,11,5
18,11,10,5
19,11,11,6
20,9,9,4
21,10,9,6
22,11,10,5
23,8,10,3
24,9,10,4
25,9,12,4
26,10,10,4
27,11,12,6
28,10,11,6
29,10,9,4
30,12,14,8
31,10,11,5
32,8,8,3
33,11,11,5
34,9,9,4
35,10,11,5
36,11,13,5
37,9,9,4
38,9,11,6
39,9,11,6
40,10,13,5
41,10,10,6
42,9,10,4
43,10,11,6
44,10,10,6
45,10,9,4
46,10,9,5
47,10,11,5
48,11,12,6
49,10,11,5
50,11,11,6
51,11,12,6
52,8,10,5
53,8,11,3
54,10,10,4
55,8,9,2
56,11,10,4
57,10,10,5
58,10,11,5
59,10,12,5
60,11,11,6
61,11,10,5
62,8,10,6
63,10,10,4
64,9,8,4
65,12,11,5
66,11,12,7
67,8,10,3
68,8,7,4
69,9,12,5
70,10,12,6
71,12,11,5
72,11,12,4
73,10,9,4
74,11,10,5
75,9,8,3
76,11,13,7
77,9,9,5
78,11,12,6
79,11,9,4
80,10,8,4
81,9,10,5
82,10,11,4
83,10,10,5
84,8,11,5
85,9,11,4
86,7,10,4
87,9,8,4
88,10,9,4
89,11,12,5
90,9,10,3
91,10,12,6
92,10,9,4
93,10,10,6
94,10,11,5
95,10,12,6
96,9,11,5
97,10,10,4
98,10,9,5
99,9,10,6
100,9,11,4
101,10,10,5
102,9,11,6
103,10,13,5
104,11,11,5
105,7,10,4
106,9,11,6
107,11,10,6
108,10,10,5
109,10,10,5
110,10,12,5
111,10,11,5
112,9,11,4
113,11,11,6
114,10,9,5
115,10,11,6
116,10,12,5
117,12,11,7
118,10,10,5
119,11,10,4
120,10,10,5
121,10,11,6
122,10,10,6
123,11,11,6
124,11,11,5
125,10,8,4
126,9,10,4
127,12,10,5
128,10,11,4
129,10,12,6
130,11,12,7
131,10,10,5
132,11,9,4
133,10,10,5
134,10,13,7
135,10,11,6
136,11,11,7
137,10,8,4
138,9,9,5
139,9,11,4
140,11,11,5
141,12,13,7
142,10,11,5
143,10,11,5
144,11,11,5
145,10,10,5
146,10,9,5
147,9,10,6
148,9,10,5
149,11,11,7
150,10,11,7
151,11,12,7
152,11,13,7
153,10,10,4
154,12,12,7
155,11,12,6
156,9,10,6
157,12,11,7
158,9,12,5
159,9,10,4
160,10,11,5
161,11,11,7
162,11,11,5
163,10,9,4
164,10,7,4
165,10,12,6
166,10,10,5
167,10,10,5
168,11,11,6
169,8,9,4
170,9,9,4
171,11,11,6
172,12,13,6
173,9,11,6
174,10,8,5
175,9,7,4
176,10,9,5
177,8,9,4
178,11,11,6
179,11,11,5
180,10,9,4
181,8,11,4
182,9,9,4
183,9,10,4
184,11,9,5
185,8,10,4
186,10,10,6
187,12,14,7
188,11,11,5
189,10,10,5
190,12,13,7
191,9,10,4
192,11,13,6
193,10,11,5
194,10,9,4
195,8,9,3
196,9,12,6
197,9,10,4
198,10,10,5
199,10,13,6
200,12,12,6
201,10,11,3
202,11,10,6
203,8,9,4
204,9,8,4
205,8,8,4
206,10,11,6
207,10,10,5
208,11,12,7
209,8,8,4
210,9,11,6
211,10,11,6
212,9,7,4
213,10,13,6
214,8,8,4
215,11,10,5
216,11,12,6
217,10,13,7
218,10,11,5
219,10,11,5
220,11,12,6
221,9,10,3
222,9,10,5
223,10,11,5
224,10,10,6
225,9,10,4
226,11,10,6
227,8,9,4
228,8,11,4
229,12,12,6
230,11,10,6
231,11,12,5
232,7,10,3
233,10,10,5
234,12,10,7
235,10,11,5
236,11,11,5
237,12,11,8
238,10,12,5
239,10,11,5
240,9,9,3
241,8,8,5
242,10,9,6
243,10,9,5
244,11,12,6
245,11,9,6
246,10,9,4
247,11,10,6
248,9,9,4
249,10,9,4
250,11,12,6
251,10,11,5
252,10,11,6
253,11,9,6
254,8,9,4
255,9,10,4
256,10,11,4
257,8,8,3
258,10,11,4
259,9,11,5
260,10,11,6
261,10,10,7
262,10,9,4
263,10,10,4
264,8,9,4
265,9,10,5
266,12,12,7
267,9,10,5
268,11,11,6
269,10,11,5
270,9,11,4
271,9,9,4
272,9,10,4
273,10,11,6
274,9,11,5
275,11,13,7
276,10,12,6
277,8,10,3
278,9,7,3
279,10,10,4
280,10,10,6
281,9,11,4
282,11,11,6
283,9,10,6
284,11,10,4
285,10,11,6
286,10,12,6
287,11,13,7
288,12,13,6
289,10,9,4
290,10,11,5
291,10,10,5
292,10,12,4
293,10,10,7
294,11,12,6
295,10,11,5
296,11,11,5
297,10,10,5
298,10,13,6
299,10,11,6
300,9,8,4
301,12,11,5
302,12,12,5
303,10,9,4
304,8,10,5
305,10,11,5
306,10,11,6
307,8,10,4
308,12,11,7
309,9,10,4
310,11,12,4
311,9,8,5
312,10,11,6
313,9,11,5
314,12,11,6
315,10,11,6
316,11,11,5
317,10,10,7
318,9,10,4
319,8,11,4
320,11,9,5
321,10,8,4
322,9,10,5
323,11,12,6
324,9,12,5
325,11,10,5
326,11,8,5
327,9,9,4
328,10,12,6
329,10,8,3
330,11,10,5
331,11,9,7
332,11,11,6
333,11,8,5
334,11,11,5
335,10,10,4
336,10,10,5
337,10,12,6
338,11,11,6
339,9,10,4
340,11,12,7
341,9,10,4
342,8,10,5
343,8,9,3
344,10,11,5
345,11,11,6
346,10,12,6
347,9,9,4
348,10,10,6
349,9,10,4
350,10,12,5
351,10,10,6
352,9,8,4
353,11,12,6
354,9,9,3
355,10,11,5
356,10,10,4
357,10,12,7
358,9,11,6
359,9,10,5
360,11,13,6
361,11,10,5
362,8,8,3
363,11,12,6
364,10,10,6
365,8,10,4
366,8,9,4
367,9,10,4
368,10,10,6
369,9,9,5
370,9,8,4
371,11,10,5
372,10,11,6
373,11,10,6
374,10,11,5
375,11,11,5
376,9,9,5
377,10,9,4
378,9,10,5
379,11,11,5
380,12,10,6
381,12,11,6
382,9,11,5
383,10,11,5
384,9,9,5
385,9,12,5
386,12,13,7
387,10,10,4
388,8,10,4
389,9,11,4
390,10,10,5
391,9,11,5
392,12,11,5
393,10,10,4
394,11,12,7
395,8,11,4
396,11,11,6
397,10,12,5
398,11,11,6
399,12,12,6
400,9,11,4
401,10,13,6
402,9,10,5
403,10,10,5
404,9,8,4
405,10,11,4
406,10,10,5
407,9,9,4
408,8,12,6
409,10,12,5
410,10,10,4
411,10,12,4
412,10,9,5
413,11,12,8
414,12,9,5
415,12,10,5
416,11,11,6
417,8,10,5
418,10,10,5
419,9,10,5
420,10,9,4
421,11,13,5
422,11,10,6
423,11,12,6
424,9,10,6
425,9,11,7
426,11,11,6
427,9,12,6
428,10,9,5
429,11,11,5
430,11,10,6
431,11,11,6
432,11,10,5
433,10,12,5
434,9,10,3
435,9,11,5
436,10,11,5
437,7,8,2
438,11,11,7
439,11,13,6
440,10,8,4
441,11,11,6
442,9,11,4
443,11,10,5
444,9,8,3
445,10,10,6
446,10,9,6
447,10,9,5
448,10,10,5
449,9,10,5
450,10,9,4
451,10,12,6
452,11,12,6
453,10,11,6
454,11,12,6
455,9,9,4
456,10,10,5
457,9,10,5
458,11,10,4
459,11,10,5
460,11,10,6
461,10,11,5
462,10,9,5
463,10,13,6
464,10,11,6
465,11,11,4
466,12,11,7
467,10,10,4
468,11,12,5
469,10,11,4
470,11,13,7
471,10,9,6
472,9,9,4
473,13,12,7
474,11,13,6
475,10,12,5
476,9,10,5
477,10,10,6
478,13,14,7
479,10,10,6
480,10,12,5
481,9,9,4
482,10,11,6
483,9,9,4
484,10,13,6
